SOURCE_FIELD,TARGET_COLUMN,SOURCE_TABLE
field_degree_value,degree,field_data_field_degree
field_department_value,department,field_data_field_department
field_end_date_value,end_date,field_data_field_end_date
field_start_date_value,start_date,field_data_field_start_date
field_starting_position_value,start_position,field_data_field_starting_position
field_ending_position_value,end_position,field_data_field_ending_position
field_mentoring_type_value,relation_subtype,field_data_field_mentoring_type
field_other_value,other,field_data_field_other
field_year_start_value,start_date,field_data_field_year_start
field_year_end_value,end_date,field_data_field_year_end
