tid,vid,name,addName,label_combined,description,format,weight
6,3,CCCC,Conference on College Composition and Communication,CCCC|Conference on College Composition and Communication,https://cccc.ncte.org/,filtered_html,4
7,3,CWPA,Council of Writing Program Administrators,CWPA|Council of Writing Program Administrators,https://wpacouncil.org/,filtered_html,0
8,3,NMA,Network for Media Action,NMA|Network for Media Action,filtered_html,1
9,3,IWCA,International Writing Centers Association,IWCA|International Writing Centers Association,https://writingcenters.org/,filtered_html,5
10,3,C&W,Computers and Writing,C&W|Computers and Writing,https://cccc.ncte.org/cccc/committees/7cs/candwcall,filtered_html,3
11,3,ATTW,Association of Teachers of Technical Writing,ATTW|Association of Teachers of Technical Writing,https://attw.org/,filtered_html,7
12,3,CBW,Conference on Basic Writing,CBW|Conference on Basic Writing,https://cbwblog.wordpress.com/,filtered_html,2
13,3,NCTE,National Council of Teachers of English,NCTE|National Council of Teachers of English,https://ncte.org/,filtered_html,6
14,3,AWP,Association of Writers and Writing Programs,AWP|Association of Writers and Writing Programs ,Formerly named the Associated Writing Programs. https://www.awpwriter.org/,filtered_html,0
15,3,MLA,Modern Language Association,MLA|Modern Language Association,https://www.mla.org/,filtered_html,0
23,3,NCA,National Communication Association,NCA|National Communication Association,https://www.natcom.org/,NULL,0
24,3,ASHR,American Society for the History of Rhetoric,ASHR|American Society for the History of Rhetoric,https://ashr.org/,NULL,0
25,3,RSA,Rhetoric Society of America,RSA|Rhetoric Society of America,https://rhetoricsociety.org/,NULL,0
26,3,AFA,American Forensic Association,AFA|American Forensic Association,https://www.americanforensicsassoc.org/,NULL,0
27,3,ILA,International Literacy Association,ILA|International Literacy Association,https://www.literacyworldwide.org/,NULL,0
28,3,RNF,Research Network Forum,RNF|Research Network Forum at CCCC (Conference on College Composition and Communication),https://sites.google.com/site/researchnetworkforum/,NULL,0
29,3,Metropolitan WPA (NYC area),New York Metropolitan Area Affiliate of the Council of Writing Program Administrators (CWPA),Metropolitan WPA (NYC area)|New York Metropolitan Area Affiliate of the Council of Writing Program Administrators (CWPA),https://groups.google.com/g/wpa-metro,NULL,0
30,3,CRLA,College Reading & Learning Association,CRLA|College Reading & Learning Association,https://www.crla.net/,NULL,0
31,3,National Writing Project,NULL,NWP|National Writing Project,https://www.nwp.org/,NULL,0
32,3,SCWCA,South Central Writing Centers Association,SCWCA|South Central Writing Centers Association,https://scwca.net/,NULL,0
33,3,LACC,Louisiana Association for College Composition,LACC|Louisiana Association for College Composition,NULL,0
37,3,CWPA,Council of Writing Program Administrators,CWPA|Council of Writing Program Administrators,https://wpacouncil.org/,NULL,0
39,3,EATAW,European Association for the Teaching of Writing,EATAW|European Association for the Teaching of Writing,https://www.eataw.eu/,NULL,0
40,3,JCRC,Jesuit Conference on Rhetoric & Composition,JCRC|Jesuit Conference on Rhetoric and Composition,https://www.ajcunet.edu/jesuit-conference-on-rhetoric-composition,NULL,0
41,3,TYCA,Two-Year College English Association,TYCA|Two-Year College English Association,https://ncte.org/groups/tyca/,NULL,0
48,3,TESOL,TESOL International Association,TESOL|TESOL International Association,formerly Teachers of English to Speakers of Other Languages. https://www.tesol.org/,NULL,0
54,3,AERA,American Educational Research Association,AERA|American Educational Research Association,https://www.aera.net/,NULL,0
55,3,AAAL,American Association for Applied Linguistics,AAAL|American Association for Applied Linguistics,https://www.aaal.org/,NULL,0
56,3,LRA,Literary Research Association,LRA|Literary Research Association,https://literacyresearchassociation.org/,NULL,0
62,3,MAWCA,Mid-Atlantic Writing Centers Association,MAWCA|Mid-Atlantic Writing Centers Association,https://www.mawca.org/,NULL,0
70,3,IPCC,"International Professional Communication
Conference (ProComm)","IPCC|International Professional Communication
Conference (ProComm)",https://ieeexplore.ieee.org/xpl/conhome/1000591/all-proceedings,NULL,0
75,3,ASA,Appalachian Studies Association,ASA|Appalachian Studies Association,https://www.appalachianstudies.org/,filtered_html,0
76,3,CFSHRC,Coalition of Feminist Scholars in the History of Rhetoric and Composition,CFSHRC|Coalition of Feminist Scholars in the History of Rhetoric and Composition,Formerly known as the Coalition of Women Scholars in the History of Rhetoric & Composition (CWSHRC). https://cfshrc.org/,NULL,0
77,3,CCCC,Conference on College Composition and Communication,CCCC|Conference on College Composition and Communication,https://cccc.ncte.org/,NULL,0
78,3,ISHR,International Society for the History of Rhetoric,ISHR|International Society for the History of Rhetoric,https://ishr-web.org/aws/ISHR/pt/sp/home_page,NULL,0
79,3,ISHS,International Society of Humor Studies,ISHS|International Society of Humor Studies,https://www.humorstudies.org/,NULL,0
80,3,RSA,Rhetoric Society of America,RSA|Rhetoric Society of America,https://rhetoricsociety.org/,NULL,0
81,3,SFA,Society of Florida Archivists,SFA|Society of Florida Archivists,http://www.florida-archivists.org/,NULL,0
82,3,CWPA,Council of Writing Program Administrators,CWPA|Council of Writing Program Administrators,https://wpacouncil.org/,NULL,0
83,3,CFSHRC,Coalition of Feminist Scholars in the History of Rhetoric and Composition,CFSHRC|Coalition of Feminist Scholars in the History of Rhetoric and Composition,Formerly known as the Coalition of Women Scholars in the History of Rhetoric & Composition (CWSHRC). https://cfshrc.org/,NULL,0
89,3,Department of Education,NULL,Department of Education,NULL,0
110,3,AAA,American Anthropological Association,AAA|American Anthropological Association,American Anthropological Association,NULL,0
112,3,Carolinas WPA,Carolinas affiliate of the Council of Writing Program Administrators,Carolinas WPA|Carolinas affiliate of the Council of Writing Program Administrators,https://www.carolinaswpa.org/,NULL,0
118,3,CPTSC,Council for Programs in Technical and Scientific Communication,CPTSC|Council for Programs in Technical and Scientific Communication,https://cptsc.org/,NULL,0
119,3,GPACW,Great Plains Alliance for Computers and Writing,GPACW|Great Plains Alliance for Computers and Writing,NULL,NULL,0
162,3,NWP,National Writing Project,NWP|National Writing Project,https://www.nwp.org/,NULL,0
169,3,ACH,Association for Computers and the Humanities,ACH|Association for Computers and the Humanities,https://ach.org/,NULL,0
173,3,IEEE,The Institute of Electrical and Electronics Engineers,IEEE|The Institute of Electrical and Electronics Engineers,https://www.ieee.org/,NULL,0
174,3,NSS,NULL,NSS,NULL,NULL,0
175,3,AAUP,American Association of University Professors,AAUP|American Association of University Professors,https://www.aaup.org/,NULL,0
177,3,CELJ,Council of Editors of Learned Journals,CELJ|Council of Editors of Learned Journals,http://www.celj.org/,NULL,0
182,3,NJWA,New Jersey Writing Alliance,NJWA|New Jersey Writing Alliance,http://www.newjerseywritingalliance.org/,NULL,0
183,3,WPA-GO,Writing Program Administrators--Graduate Organization,WPA-GO|Writing Program Administrators--Graduate Organization,https://wpacouncil.org/aws/CWPA/pt/sp/wpa-go,NULL,0
187,3,STC,Society for Technical Communication,"STC|Society for Technical Communication
",https://www.stc.org/,NULL,0
188,3,CEA,College English Association,CEA|College English Association,https://cea-web.org/,NULL,0
201,3,CWPA,Council of Writing Program Administrators,CWPA|Council of Writing Program Administrators,https://wpacouncil.org/,NULL,0
202,3,IWCA,International Writing Centers Association,IWCA|International Writing Centers Association,https://writingcenters.org/,NULL,0
211,3,MWCA,Midwest Writing Centers Association,MWCA|Midwest Writing Centers Association,http://www.midwestwritingcenters.org/,NULL,0
219,3,CCC,College Composition and Communication,CCC|College Composition and Communication,https://cccc.ncte.org/cccc/ccc,NULL,0
220,3,AEPL,Assembly for Expanded Perspectives on Learning,AEPL|Assembly for Expanded Perspectives on Learning,https://aepl.org,NULL,0
221,3,AMEWS,Association for Middle East Women's Studies,AMEWS|Association for Middle East Women's Studies,https://amews.org/,NULL,0
222,3,CFSHRC,Coalition of Feminist Scholars in the History of Rhetoric and Composition,CFSHRC|Coalition of Feminist Scholars in the History of Rhetoric and Composition,Formerly known as the Coalition of Women Scholars in the History of Rhetoric & Composition (CWSHRC). https://cfshrc.org/,NULL,0
223,3,CCC,College Composition and Communication,CCC|College Composition and Communication,https://cccc.ncte.org/cccc/ccc,NULL,0
224,3,Frontera Retórica,"Rhetoric Society of America (RSA) Student Chapter at University of Texas, El Paso (UTEP)",Frontera Retórica,"Rhetoric Society of America (RSA) Student Chapter at University of Texas, El Paso (UTEP)",NULL,0
225,3,RSA,Rhetoric Society of America,RSA|Rhetoric Society of America,https://rhetoricsociety.org/,NULL,0
226,3,ILA,International Literacy Association,ILA|International Literacy Association,"International Literacy Association (ILA), formerly the International Reading Association.  https://www.literacyworldwide.org/about-us",NULL,0
227,3,NCTE,National Council of Teachers of English,NCTE|National Council of Teachers of English,https://ncte.org/,NULL,0
228,3,TYCA,Two-Year College English Association,TYCA|Two-Year College English Association,https://ncte.org/groups/tyca/,NULL,0
229,3,CEA,College English Association,CEA|College English Association,NULL,0
237,3,ACM SIGDOC,ACM Special Interest Group for Design of Communication,ACM SIGDOC|Special Interest Group for Design of Communication of the Association for Computing Machinery,https://sigdoc.acm.org/,NULL,0
257,3,NACADA,The Global Community for  Academic Advising,NACADA|The Global Community for  Academic Advising,Formerly the National Conference on Academic Advising. https://nacada.ksu.edu/,NULL,0
260,3,HFMA,Healthcare Financial Management Association,HFMA|Healthcare Financial Management Association,https://nacada.ksu.edu/,NULL,0
